TITLE,SUMMARY,Length,NOTE_IMAGE,DATE_START,DATE_END,LOCATION,TAGS_KEYWORD,TAGS_CATEGORY,TAGS_SUBJECT,LINK_1,LINK_2,LINK_3,LINK_4,MORE_TEXT_1,MORE_TEXT_2,MORE_TEXT_3,MORE_TEXT_4,SHARE_LINK,SOURCE,Username,
,,,,,,,,,,,,,,,,,,,,,
"This is the title of Fact in Polybook. This can be a historical person, place, event, etc... NOTE: it is NOT the title of your episode.  ","A brief summary of the Fact. We limit to 220 characters (much like Twitter) to keep it bitesize, sharable and easy to view at a glance.",Summary Character Count,"Feel free to attach an image if you wish, (useful if obscure Fact) otherwise leave blank and I'll do an image search within Polybook (it's pretty good).","This is where you'd like the Fact to appear on the History Timeline. If a person, this can be birth date, but personally I give it as most relevant date of their impact on history.",End Date is optional. Prob about 70% of our facts just have start date. ,"Where Fact will be pinned to the World Map (if ancient, please double check it's a name that appears on Google Maps - otherwise find close modern day location) ",Related words that might be searched for by someone wanting to locate this fact. Eg. WWII ,"These are defined by Polybook, so leave these and I'll complete when I upload. ","These are defined by Polybook, so leave these and I'll complete when I upload. ",This is the important one. Please give link to the relevant episode of your show. This way any Polybook users who add this fact will see a link to your show.,,,,,,,,"Polybook will generate this as a hyperlink. I'll email it to you, so you have the option to share on social media or include in your shownotes. This means your listeners can 'collect' the facts from your podcast as they listen. We will also retweet on Twitter and upload to our 'Community Knowledge' section within the app. https://www.polybook.live/",Please give Season and/or Episode number if applicable,You can ignore this column. I'll copy and paste to all facts.,
,EXAMPLE,,,,,,,,,,,,,,,,,,,,
John Smith,"Explorer known for establishing the first permanent English colony at Jamestown in 1607, and his encounters with the Powhatan tribe. Accounts of his romance with Pocahontas were fictionalized, possibly even by Smith himself.   ",227,(optional),1607,(optional),"Jamestown, Virginia","Colony, America, Settlement, New, World, Explore, ","Person,","History,",https://podcasts.apple.com/us/podcast/ep-48-the-true-story-of-pocahontas-and-john-smith/id1472056208?i=1000495374458,,,,,,,,"(leave blank, I'll complete)",S01 E48,,
,,,,,,,,,,,,,,,,,,,,,
Costa Rica Packet,Captain Le Lacheur set the speed record of 131 days for sailing from London to San Francisco in his ship the Costa Rica Packet. The ship was described as the best to have ever entered the port of San Francisco. ,211,https://thecuriosityofachild.com/temp/Costa_Rica_Packet.jpg (this is a temporary location),22/01/1868      will you being having ‘on this day’ in the app?,,"
San Francisco","America, London, Maritime, Guernsey, Records",,,Never sure what network to promote by our site links to the main ones https://thecuriosityofachild.com/episodes/william-le-lacheur-and-the-transformation-of-costa-rica,,,,,,,,https://polybooklive.page.link/d9LzMy2xrf1AfwRH6,E25,The Curiosity of a Child | S01 ,The Curiosity of a Child | S01  E25
Football comes to Costa Rica,Guernseyman William Le Lacheur took the children of wealthy Costa Rican landowners to be educated in England. There they fell in love with football and took it back to their homeland.,183,,1840s,1850s  (can’t find exact dates),Costa Rica,"Costa Rica, Football, Guernsey",,,https://thecuriosityofachild.com/episodes/william-le-lacheur-and-the-transformation-of-costa-rica,,,,,,,,https://polybooklive.page.link/p1Jnf5nhp7cMNd5F7,E25,The Curiosity of a Child | S01 ,The Curiosity of a Child | S01  E25
Costa Rican Coffee Trade,In the 1840s William Le Lacheur started the coffee trade between Costa Rica and London lifting the country from poverty. He is still fondly remembered today.,157,,1840s,,"Punta Arenas, Costa Rica","Costa Rica, Coffee, Guernsey, London, Trade",,,https://thecuriosityofachild.com/episodes/william-le-lacheur-and-the-transformation-of-costa-rica,,,,,,,,https://polybooklive.page.link/c6c86rvt7Mz1sxUH9,E25,The Curiosity of a Child | S01 ,The Curiosity of a Child | S01  E25
William Le Lachuer,Merchant and ship-owner from Guernsey who was an important part of the growth of Costa Rica through the coffee trade he established.,132,https://thecuriosityofachild.com/temp/william-le-lacheur-portrait.jpg,15/10/1802,27/06/1863,"Guernsey, Channel Islands","Costa Rica, Coffee, Guernsey, Trade",,,https://thecuriosityofachild.com/episodes/william-le-lacheur-and-the-transformation-of-costa-rica,,,,,,,,https://polybooklive.page.link/tWBx2DKnDPaBc4dP7,E25,The Curiosity of a Child | S01 ,The Curiosity of a Child | S01  E25
Battle of Santa Rosa,Costa Rican troops defeat filibuster William Walker at the battle of Santa Rosa. They owe their victory to Captain Le Lacheur who lent his ships to transport their army up the coast as the land route was too slow.,213,https://en.wikipedia.org/wiki/William_Walker_(filibuster)#/media/File:WilliamWalker.jpg,20/03/1856,,"Santa Rosa, Costa Rica https://en.wikipedia.org/wiki/Santa_Rosa_National_Park#/map/0","Costa Rica, Guernsey, America, Battles, War",,,https://thecuriosityofachild.com/episodes/william-le-lacheur-and-the-transformation-of-costa-rica,,,,,,,,https://polybooklive.page.link/MJaEZZRDqKWTgiGbA,E25,The Curiosity of a Child | S01 ,The Curiosity of a Child | S01  E25
